Country,Admin1,Event month,Sub-Event Type,Fatalities
Lebanon,Bekaa,2023-12-01,Shelling/artillery/missile attack,0
Lebanon,Bekaa,2023-12-01,Remote explosive/landmine/IED,0
Lebanon,North,2023-12-01,Air/drone strike,0
Lebanon,North,2023-12-01,Armed clash,0
Lebanon,North,2023-12-01,Attack,0
Lebanon,North,2023-12-01,Shelling/artillery/missile attack,0
Lebanon,North,2023-12-01,Remote explosive/landmine/IED,0
Lebanon,Beirut,2023-12-01,Air/drone strike,0
Lebanon,Beirut,2023-12-01,Armed clash,0
Lebanon,Beirut,2023-12-01,Attack,0
Lebanon,Beirut,2023-12-01,Shelling/artillery/missile attack,0
Lebanon,Beirut,2023-12-01,Remote explosive/landmine/IED,0
Lebanon,Akkar,2023-12-01,Air/drone strike,0
Lebanon,Akkar,2023-12-01,Armed clash,0
Lebanon,Akkar,2023-12-01,Attack,0
Lebanon,Akkar,2023-12-01,Shelling/artillery/missile attack,0
Lebanon,Akkar,2023-12-01,Remote explosive/landmine/IED,0
Lebanon,Al Nabatieh,2024-01-01,Air/drone strike,26
Lebanon,Al Nabatieh,2024-01-01,Armed clash,0
Lebanon,Al Nabatieh,2024-01-01,Attack,0
Lebanon,Al Nabatieh,2024-01-01,Shelling/artillery/missile attack,14
Lebanon,Al Nabatieh,2024-01-01,Remote explosive/landmine/IED,0
Lebanon,South,2024-01-01,Air/drone strike,12
Lebanon,South,2024-01-01,Armed clash,0
Lebanon,South,2024-01-01,Attack,0
Lebanon,South,2024-01-01,Shelling/artillery/missile attack,6
Lebanon,South,2024-01-01,Remote explosive/landmine/IED,0
Lebanon,Mount Lebanon,2024-01-01,Air/drone strike,7
Lebanon,Mount Lebanon,2024-01-01,Armed clash,0
Lebanon,Mount Lebanon,2024-01-01,Attack,0
Lebanon,Mount Lebanon,2024-01-01,Shelling/artillery/missile attack,0
Lebanon,Mount Lebanon,2024-01-01,Remote explosive/landmine/IED,0
Lebanon,Baalbek-Hermel,2024-01-01,Air/drone strike,0
Lebanon,Baalbek-Hermel,2024-01-01,Armed clash,0
Lebanon,Baalbek-Hermel,2024-01-01,Attack,0
Lebanon,Baalbek-Hermel,2024-01-01,Shelling/artillery/missile attack,0
Lebanon,Baalbek-Hermel,2024-01-01,Remote explosive/landmine/IED,0
Lebanon,Bekaa,2024-01-01,Air/drone strike,0
Lebanon,Bekaa,2024-01-01,Armed clash,0
Lebanon,Bekaa,2024-01-01,Attack,0
Lebanon,Bekaa,2024-01-01,Shelling/artillery/missile attack,0
Lebanon,Bekaa,2024-01-01,Remote explosive/landmine/IED,0
Lebanon,North,2024-01-01,Air/drone strike,0
Lebanon,North,2024-01-01,Armed clash,0
Lebanon,North,2024-01-01,Attack,0
Lebanon,North,2024-01-01,Shelling/artillery/missile attack,0
Lebanon,North,2024-01-01,Remote explosive/landmine/IED,0
Lebanon,Beirut,2024-01-01,Air/drone strike,0
Lebanon,Beirut,2024-01-01,Armed clash,0
Lebanon,Beirut,2024-01-01,Attack,0
Lebanon,Beirut,2024-01-01,Shelling/artillery/missile attack,0
Lebanon,Beirut,2024-01-01,Remote explosive/landmine/IED,0
Lebanon,Akkar,2024-01-01,Air/drone strike,0
Lebanon,Akkar,2024-01-01,Armed clash,0
Lebanon,Akkar,2024-01-01,Attack,0
Lebanon,Akkar,2024-01-01,Shelling/artillery/missile attack,0
Lebanon,Akkar,2024-01-01,Remote explosive/landmine/IED,0
Lebanon,Al Nabatieh,2024-02-01,Air/drone strike,39
Lebanon,Al Nabatieh,2024-02-01,Armed clash,0
Lebanon,Al Nabatieh,2024-02-01,Attack,0
Lebanon,Al Nabatieh,2024-02-01,Shelling/artillery/missile attack,21
Lebanon,Al Nabatieh,2024-02-01,Remote explosive/landmine/IED,0
Lebanon,South,2024-02-01,Air/drone strike,6
Lebanon,South,2024-02-01,Armed clash,0
Lebanon,South,2024-02-01,Attack,0
Lebanon,South,2024-02-01,Shelling/artillery/missile attack,17
Lebanon,South,2024-02-01,Remote explosive/landmine/IED,0
Lebanon,Mount Lebanon,2024-02-01,Air/drone strike,3
Lebanon,Mount Lebanon,2024-02-01,Armed clash,0
Lebanon,Mount Lebanon,2024-02-01,Attack,0
Lebanon,Mount Lebanon,2024-02-01,Shelling/artillery/missile attack,0
Lebanon,Mount Lebanon,2024-02-01,Remote explosive/landmine/IED,0
Lebanon,Baalbek-Hermel,2024-02-01,Air/drone strike,2
Lebanon,Baalbek-Hermel,2024-02-01,Armed clash,0
Lebanon,Baalbek-Hermel,2024-02-01,Attack,0
Lebanon,Baalbek-Hermel,2024-02-01,Shelling/artillery/missile attack,0
Lebanon,Baalbek-Hermel,2024-02-01,Remote explosive/landmine/IED,0
Lebanon,Bekaa,2024-02-01,Air/drone strike,0
Lebanon,Bekaa,2024-02-01,Armed clash,0
Lebanon,Bekaa,2024-02-01,Attack,0
Lebanon,Bekaa,2024-02-01,Shelling/artillery/missile attack,0
Lebanon,Bekaa,2024-02-01,Remote explosive/landmine/IED,0
Lebanon,North,2024-02-01,Air/drone strike,0
Lebanon,North,2024-02-01,Armed clash,0
Lebanon,North,2024-02-01,Attack,0
Lebanon,North,2024-02-01,Shelling/artillery/missile attack,0
Lebanon,North,2024-02-01,Remote explosive/landmine/IED,0
Lebanon,Beirut,2024-02-01,Air/drone strike,0
Lebanon,Beirut,2024-02-01,Armed clash,0
Lebanon,Beirut,2024-02-01,Attack,0
Lebanon,Beirut,2024-02-01,Shelling/artillery/missile attack,0
Lebanon,Beirut,2024-02-01,Remote explosive/landmine/IED,0
Lebanon,Akkar,2024-02-01,Air/drone strike,0
Lebanon,Akkar,2024-02-01,Armed clash,0
Lebanon,Akkar,2024-02-01,Attack,0
Lebanon,Akkar,2024-02-01,Shelling/artillery/missile attack,0
Lebanon,Akkar,2024-02-01,Remote explosive/landmine/IED,0
Lebanon,Al Nabatieh,2024-03-01,Air/drone strike,43
Lebanon,Al Nabatieh,2024-03-01,Armed clash,0
Lebanon,Al Nabatieh,2024-03-01,Attack,0
Lebanon,Al Nabatieh,2024-03-01,Shelling/artillery/missile attack,11
Lebanon,Al Nabatieh,2024-03-01,Remote explosive/landmine/IED,0
Lebanon,South,2024-03-01,Air/drone strike,17
Lebanon,South,2024-03-01,Armed clash,0
Lebanon,South,2024-03-01,Attack,0
Lebanon,South,2024-03-01,Shelling/artillery/missile attack,5
Lebanon,South,2024-03-01,Remote explosive/landmine/IED,0
Lebanon,Mount Lebanon,2024-03-01,Air/drone strike,0
Lebanon,Mount Lebanon,2024-03-01,Armed clash,0
Lebanon,Mount Lebanon,2024-03-01,Attack,0
Lebanon,Mount Lebanon,2024-03-01,Shelling/artillery/missile attack,0
Lebanon,Mount Lebanon,2024-03-01,Remote explosive/landmine/IED,0
Lebanon,Baalbek-Hermel,2024-03-01,Air/drone strike,9
Lebanon,Baalbek-Hermel,2024-03-01,Armed clash,0
Lebanon,Baalbek-Hermel,2024-03-01,Attack,0
Lebanon,Baalbek-Hermel,2024-03-01,Shelling/artillery/missile attack,0
Lebanon,Baalbek-Hermel,2024-03-01,Remote explosive/landmine/IED,0
Lebanon,Bekaa,2024-03-01,Air/drone strike,1
Lebanon,Bekaa,2024-03-01,Armed clash,0
Lebanon,Bekaa,2024-03-01,Attack,0
Lebanon,Bekaa,2024-03-01,Shelling/artillery/missile attack,0
Lebanon,Bekaa,2024-03-01,Remote explosive/landmine/IED,0
Lebanon,North,2024-03-01,Air/drone strike,0
Lebanon,North,2024-03-01,Armed clash,0
Lebanon,North,2024-03-01,Attack,0
Lebanon,North,2024-03-01,Shelling/artillery/missile attack,0
Lebanon,North,2024-03-01,Remote explosive/landmine/IED,0
Lebanon,Beirut,2024-03-01,Air/drone strike,0
Lebanon,Beirut,2024-03-01,Armed clash,0
Lebanon,Beirut,2024-03-01,Attack,0
Lebanon,Beirut,2024-03-01,Shelling/artillery/missile attack,0
Lebanon,Beirut,2024-03-01,Remote explosive/landmine/IED,0
Lebanon,Akkar,2024-03-01,Air/drone strike,0
Lebanon,Akkar,2024-03-01,Armed clash,0
Lebanon,Akkar,2024-03-01,Attack,0
Lebanon,Akkar,2024-03-01,Shelling/artillery/missile attack,0
Lebanon,Akkar,2024-03-01,Remote explosive/landmine/IED,0
Lebanon,Al Nabatieh,2024-04-01,Air/drone strike,24
Lebanon,Al Nabatieh,2024-04-01,Armed clash,1
Lebanon,Al Nabatieh,2024-04-01,Attack,0
Lebanon,Al Nabatieh,2024-04-01,Shelling/artillery/missile attack,2
Lebanon,Al Nabatieh,2024-04-01,Remote explosive/landmine/IED,0
Lebanon,South,2024-04-01,Air/drone strike,9
Lebanon,South,2024-04-01,Armed clash,0
Lebanon,South,2024-04-01,Attack,0
Lebanon,South,2024-04-01,Shelling/artillery/missile attack,0
Lebanon,South,2024-04-01,Remote explosive/landmine/IED,0
Lebanon,Mount Lebanon,2024-04-01,Air/drone strike,0
Lebanon,Mount Lebanon,2024-04-01,Armed clash,0
Lebanon,Mount Lebanon,2024-04-01,Attack,1
Lebanon,Mount Lebanon,2024-04-01,Shelling/artillery/missile attack,0
Lebanon,Mount Lebanon,2024-04-01,Remote explosive/landmine/IED,0
Lebanon,Baalbek-Hermel,2024-04-01,Air/drone strike,0
Lebanon,Baalbek-Hermel,2024-04-01,Armed clash,0
Lebanon,Baalbek-Hermel,2024-04-01,Attack,0
Lebanon,Baalbek-Hermel,2024-04-01,Shelling/artillery/missile attack,0
Lebanon,Baalbek-Hermel,2024-04-01,Remote explosive/landmine/IED,0
Lebanon,Bekaa,2024-04-01,Air/drone strike,2
Lebanon,Bekaa,2024-04-01,Armed clash,0
Lebanon,Bekaa,2024-04-01,Attack,0
Lebanon,Bekaa,2024-04-01,Shelling/artillery/missile attack,0
Lebanon,Bekaa,2024-04-01,Remote explosive/landmine/IED,0
Lebanon,North,2024-04-01,Air/drone strike,0
Lebanon,North,2024-04-01,Armed clash,0
Lebanon,North,2024-04-01,Attack,0
Lebanon,North,2024-04-01,Shelling/artillery/missile attack,0
Lebanon,North,2024-04-01,Remote explosive/landmine/IED,0
Lebanon,Beirut,2024-04-01,Air/drone strike,0
Lebanon,Beirut,2024-04-01,Armed clash,0
Lebanon,Beirut,2024-04-01,Attack,0
Lebanon,Beirut,2024-04-01,Shelling/artillery/missile attack,0
Lebanon,Beirut,2024-04-01,Remote explosive/landmine/IED,0
Lebanon,Akkar,2024-04-01,Air/drone strike,0
Lebanon,Akkar,2024-04-01,Armed clash,0
Lebanon,Akkar,2024-04-01,Attack,0
Lebanon,Akkar,2024-04-01,Shelling/artillery/missile attack,0
Lebanon,Akkar,2024-04-01,Remote explosive/landmine/IED,0
Lebanon,Al Nabatieh,2024-05-01,Air/drone strike,40
Lebanon,Al Nabatieh,2024-05-01,Armed clash,0
Lebanon,Al Nabatieh,2024-05-01,Attack,0
Lebanon,Al Nabatieh,2024-05-01,Shelling/artillery/missile attack,0
Lebanon,Al Nabatieh,2024-05-01,Remote explosive/landmine/IED,0
Lebanon,South,2024-05-01,Air/drone strike,22
Lebanon,South,2024-05-01,Armed clash,0
Lebanon,South,2024-05-01,Attack,0
Lebanon,South,2024-05-01,Shelling/artillery/missile attack,1
Lebanon,South,2024-05-01,Remote explosive/landmine/IED,0
Lebanon,Mount Lebanon,2024-05-01,Air/drone strike,0
Lebanon,Mount Lebanon,2024-05-01,Armed clash,0
Lebanon,Mount Lebanon,2024-05-01,Attack,0
Lebanon,Mount Lebanon,2024-05-01,Shelling/artillery/missile attack,0
Lebanon,Mount Lebanon,2024-05-01,Remote explosive/landmine/IED,0
Lebanon,Baalbek-Hermel,2024-05-01,Air/drone strike,0
