Country,Admin1,Event month,Sub-Event Type,Events
Lebanon,Bekaa,2023-12-01,Shelling/artillery/missile attack,0
Lebanon,Bekaa,2023-12-01,Remote explosive/landmine/IED,0
Lebanon,North,2023-12-01,Air/drone strike,0
Lebanon,North,2023-12-01,Armed clash,0
Lebanon,North,2023-12-01,Attack,0
Lebanon,North,2023-12-01,Shelling/artillery/missile attack,0
Lebanon,North,2023-12-01,Remote explosive/landmine/IED,0
Lebanon,Beirut,2023-12-01,Air/drone strike,0
Lebanon,Beirut,2023-12-01,Armed clash,0
Lebanon,Beirut,2023-12-01,Attack,0
Lebanon,Beirut,2023-12-01,Shelling/artillery/missile attack,0
Lebanon,Beirut,2023-12-01,Remote explosive/landmine/IED,0
Lebanon,Akkar,2023-12-01,Air/drone strike,0
Lebanon,Akkar,2023-12-01,Armed clash,0
Lebanon,Akkar,2023-12-01,Attack,0
Lebanon,Akkar,2023-12-01,Shelling/artillery/missile attack,0
Lebanon,Akkar,2023-12-01,Remote explosive/landmine/IED,0
Lebanon,Al Nabatieh,2024-01-01,Air/drone strike,138
Lebanon,Al Nabatieh,2024-01-01,Armed clash,2
Lebanon,Al Nabatieh,2024-01-01,Attack,1
Lebanon,Al Nabatieh,2024-01-01,Shelling/artillery/missile attack,294
Lebanon,Al Nabatieh,2024-01-01,Remote explosive/landmine/IED,0
Lebanon,South,2024-01-01,Air/drone strike,71
Lebanon,South,2024-01-01,Armed clash,0
Lebanon,South,2024-01-01,Attack,0
Lebanon,South,2024-01-01,Shelling/artillery/missile attack,226
Lebanon,South,2024-01-01,Remote explosive/landmine/IED,0
Lebanon,Mount Lebanon,2024-01-01,Air/drone strike,1
Lebanon,Mount Lebanon,2024-01-01,Armed clash,0
Lebanon,Mount Lebanon,2024-01-01,Attack,0
Lebanon,Mount Lebanon,2024-01-01,Shelling/artillery/missile attack,0
Lebanon,Mount Lebanon,2024-01-01,Remote explosive/landmine/IED,0
Lebanon,Baalbek-Hermel,2024-01-01,Air/drone strike,0
Lebanon,Baalbek-Hermel,2024-01-01,Armed clash,0
Lebanon,Baalbek-Hermel,2024-01-01,Attack,0
Lebanon,Baalbek-Hermel,2024-01-01,Shelling/artillery/missile attack,0
Lebanon,Baalbek-Hermel,2024-01-01,Remote explosive/landmine/IED,0
Lebanon,Bekaa,2024-01-01,Air/drone strike,0
Lebanon,Bekaa,2024-01-01,Armed clash,0
Lebanon,Bekaa,2024-01-01,Attack,0
Lebanon,Bekaa,2024-01-01,Shelling/artillery/missile attack,0
Lebanon,Bekaa,2024-01-01,Remote explosive/landmine/IED,0
Lebanon,North,2024-01-01,Air/drone strike,0
Lebanon,North,2024-01-01,Armed clash,0
Lebanon,North,2024-01-01,Attack,0
Lebanon,North,2024-01-01,Shelling/artillery/missile attack,0
Lebanon,North,2024-01-01,Remote explosive/landmine/IED,0
Lebanon,Beirut,2024-01-01,Air/drone strike,0
Lebanon,Beirut,2024-01-01,Armed clash,0
Lebanon,Beirut,2024-01-01,Attack,0
Lebanon,Beirut,2024-01-01,Shelling/artillery/missile attack,0
Lebanon,Beirut,2024-01-01,Remote explosive/landmine/IED,0
Lebanon,Akkar,2024-01-01,Air/drone strike,0
Lebanon,Akkar,2024-01-01,Armed clash,0
Lebanon,Akkar,2024-01-01,Attack,0
Lebanon,Akkar,2024-01-01,Shelling/artillery/missile attack,0
Lebanon,Akkar,2024-01-01,Remote explosive/landmine/IED,0
Lebanon,Al Nabatieh,2024-02-01,Air/drone strike,216
Lebanon,Al Nabatieh,2024-02-01,Armed clash,6
Lebanon,Al Nabatieh,2024-02-01,Attack,0
Lebanon,Al Nabatieh,2024-02-01,Shelling/artillery/missile attack,288
Lebanon,Al Nabatieh,2024-02-01,Remote explosive/landmine/IED,0
Lebanon,South,2024-02-01,Air/drone strike,130
Lebanon,South,2024-02-01,Armed clash,0
Lebanon,South,2024-02-01,Attack,0
Lebanon,South,2024-02-01,Shelling/artillery/missile attack,187
Lebanon,South,2024-02-01,Remote explosive/landmine/IED,0
Lebanon,Mount Lebanon,2024-02-01,Air/drone strike,1
Lebanon,Mount Lebanon,2024-02-01,Armed clash,0
Lebanon,Mount Lebanon,2024-02-01,Attack,0
Lebanon,Mount Lebanon,2024-02-01,Shelling/artillery/missile attack,0
Lebanon,Mount Lebanon,2024-02-01,Remote explosive/landmine/IED,0
Lebanon,Baalbek-Hermel,2024-02-01,Air/drone strike,6
Lebanon,Baalbek-Hermel,2024-02-01,Armed clash,0
Lebanon,Baalbek-Hermel,2024-02-01,Attack,0
Lebanon,Baalbek-Hermel,2024-02-01,Shelling/artillery/missile attack,0
Lebanon,Baalbek-Hermel,2024-02-01,Remote explosive/landmine/IED,0
Lebanon,Bekaa,2024-02-01,Air/drone strike,0
Lebanon,Bekaa,2024-02-01,Armed clash,0
Lebanon,Bekaa,2024-02-01,Attack,0
Lebanon,Bekaa,2024-02-01,Shelling/artillery/missile attack,0
Lebanon,Bekaa,2024-02-01,Remote explosive/landmine/IED,0
Lebanon,North,2024-02-01,Air/drone strike,0
Lebanon,North,2024-02-01,Armed clash,0
Lebanon,North,2024-02-01,Attack,0
Lebanon,North,2024-02-01,Shelling/artillery/missile attack,0
Lebanon,North,2024-02-01,Remote explosive/landmine/IED,0
Lebanon,Beirut,2024-02-01,Air/drone strike,0
Lebanon,Beirut,2024-02-01,Armed clash,0
Lebanon,Beirut,2024-02-01,Attack,0
Lebanon,Beirut,2024-02-01,Shelling/artillery/missile attack,0
Lebanon,Beirut,2024-02-01,Remote explosive/landmine/IED,0
Lebanon,Akkar,2024-02-01,Air/drone strike,0
Lebanon,Akkar,2024-02-01,Armed clash,0
Lebanon,Akkar,2024-02-01,Attack,0
Lebanon,Akkar,2024-02-01,Shelling/artillery/missile attack,0
Lebanon,Akkar,2024-02-01,Remote explosive/landmine/IED,0
Lebanon,Al Nabatieh,2024-03-01,Air/drone strike,180
Lebanon,Al Nabatieh,2024-03-01,Armed clash,3
Lebanon,Al Nabatieh,2024-03-01,Attack,1
Lebanon,Al Nabatieh,2024-03-01,Shelling/artillery/missile attack,301
Lebanon,Al Nabatieh,2024-03-01,Remote explosive/landmine/IED,1
Lebanon,South,2024-03-01,Air/drone strike,101
Lebanon,South,2024-03-01,Armed clash,0
Lebanon,South,2024-03-01,Attack,0
Lebanon,South,2024-03-01,Shelling/artillery/missile attack,115
Lebanon,South,2024-03-01,Remote explosive/landmine/IED,0
Lebanon,Mount Lebanon,2024-03-01,Air/drone strike,1
Lebanon,Mount Lebanon,2024-03-01,Armed clash,0
Lebanon,Mount Lebanon,2024-03-01,Attack,0
Lebanon,Mount Lebanon,2024-03-01,Shelling/artillery/missile attack,0
Lebanon,Mount Lebanon,2024-03-01,Remote explosive/landmine/IED,0
Lebanon,Baalbek-Hermel,2024-03-01,Air/drone strike,17
Lebanon,Baalbek-Hermel,2024-03-01,Armed clash,0
Lebanon,Baalbek-Hermel,2024-03-01,Attack,0
Lebanon,Baalbek-Hermel,2024-03-01,Shelling/artillery/missile attack,1
Lebanon,Baalbek-Hermel,2024-03-01,Remote explosive/landmine/IED,0
Lebanon,Bekaa,2024-03-01,Air/drone strike,1
Lebanon,Bekaa,2024-03-01,Armed clash,0
Lebanon,Bekaa,2024-03-01,Attack,0
Lebanon,Bekaa,2024-03-01,Shelling/artillery/missile attack,0
Lebanon,Bekaa,2024-03-01,Remote explosive/landmine/IED,0
Lebanon,North,2024-03-01,Air/drone strike,0
Lebanon,North,2024-03-01,Armed clash,0
Lebanon,North,2024-03-01,Attack,0
Lebanon,North,2024-03-01,Shelling/artillery/missile attack,0
Lebanon,North,2024-03-01,Remote explosive/landmine/IED,0
Lebanon,Beirut,2024-03-01,Air/drone strike,0
Lebanon,Beirut,2024-03-01,Armed clash,0
Lebanon,Beirut,2024-03-01,Attack,0
Lebanon,Beirut,2024-03-01,Shelling/artillery/missile attack,0
Lebanon,Beirut,2024-03-01,Remote explosive/landmine/IED,0
Lebanon,Akkar,2024-03-01,Air/drone strike,0
Lebanon,Akkar,2024-03-01,Armed clash,0
Lebanon,Akkar,2024-03-01,Attack,0
Lebanon,Akkar,2024-03-01,Shelling/artillery/missile attack,0
Lebanon,Akkar,2024-03-01,Remote explosive/landmine/IED,0
Lebanon,Al Nabatieh,2024-04-01,Air/drone strike,200
Lebanon,Al Nabatieh,2024-04-01,Armed clash,9
Lebanon,Al Nabatieh,2024-04-01,Attack,1
Lebanon,Al Nabatieh,2024-04-01,Shelling/artillery/missile attack,192
Lebanon,Al Nabatieh,2024-04-01,Remote explosive/landmine/IED,0
Lebanon,South,2024-04-01,Air/drone strike,124
Lebanon,South,2024-04-01,Armed clash,0
Lebanon,South,2024-04-01,Attack,0
Lebanon,South,2024-04-01,Shelling/artillery/missile attack,109
Lebanon,South,2024-04-01,Remote explosive/landmine/IED,3
Lebanon,Mount Lebanon,2024-04-01,Air/drone strike,0
Lebanon,Mount Lebanon,2024-04-01,Armed clash,0
Lebanon,Mount Lebanon,2024-04-01,Attack,0
Lebanon,Mount Lebanon,2024-04-01,Shelling/artillery/missile attack,0
Lebanon,Mount Lebanon,2024-04-01,Remote explosive/landmine/IED,0
Lebanon,Baalbek-Hermel,2024-04-01,Air/drone strike,5
Lebanon,Baalbek-Hermel,2024-04-01,Armed clash,0
Lebanon,Baalbek-Hermel,2024-04-01,Attack,0
Lebanon,Baalbek-Hermel,2024-04-01,Shelling/artillery/missile attack,1
Lebanon,Baalbek-Hermel,2024-04-01,Remote explosive/landmine/IED,0
Lebanon,Bekaa,2024-04-01,Air/drone strike,1
Lebanon,Bekaa,2024-04-01,Armed clash,0
Lebanon,Bekaa,2024-04-01,Attack,0
Lebanon,Bekaa,2024-04-01,Shelling/artillery/missile attack,0
Lebanon,Bekaa,2024-04-01,Remote explosive/landmine/IED,0
Lebanon,North,2024-04-01,Air/drone strike,0
Lebanon,North,2024-04-01,Armed clash,0
Lebanon,North,2024-04-01,Attack,0
Lebanon,North,2024-04-01,Shelling/artillery/missile attack,0
Lebanon,North,2024-04-01,Remote explosive/landmine/IED,0
Lebanon,Beirut,2024-04-01,Air/drone strike,0
Lebanon,Beirut,2024-04-01,Armed clash,0
Lebanon,Beirut,2024-04-01,Attack,0
Lebanon,Beirut,2024-04-01,Shelling/artillery/missile attack,0
Lebanon,Beirut,2024-04-01,Remote explosive/landmine/IED,0
Lebanon,Akkar,2024-04-01,Air/drone strike,0
Lebanon,Akkar,2024-04-01,Armed clash,0
Lebanon,Akkar,2024-04-01,Attack,0
Lebanon,Akkar,2024-04-01,Shelling/artillery/missile attack,0
Lebanon,Akkar,2024-04-01,Remote explosive/landmine/IED,0
Lebanon,Al Nabatieh,2024-05-01,Air/drone strike,216
Lebanon,Al Nabatieh,2024-05-01,Armed clash,0
Lebanon,Al Nabatieh,2024-05-01,Attack,1
Lebanon,Al Nabatieh,2024-05-01,Shelling/artillery/missile attack,182
Lebanon,Al Nabatieh,2024-05-01,Remote explosive/landmine/IED,0
Lebanon,South,2024-05-01,Air/drone strike,86
Lebanon,South,2024-05-01,Armed clash,0
Lebanon,South,2024-05-01,Attack,0
Lebanon,South,2024-05-01,Shelling/artillery/missile attack,121
Lebanon,South,2024-05-01,Remote explosive/landmine/IED,0
Lebanon,Mount Lebanon,2024-05-01,Air/drone strike,0
Lebanon,Mount Lebanon,2024-05-01,Armed clash,0
Lebanon,Mount Lebanon,2024-05-01,Attack,0
Lebanon,Mount Lebanon,2024-05-01,Shelling/artillery/missile attack,0
Lebanon,Mount Lebanon,2024-05-01,Remote explosive/landmine/IED,0
Lebanon,Baalbek-Hermel,2024-05-01,Air/drone strike,8
